"location description","amount"
"STREET","63057"
"RESIDENCE","43139"
"APARTMENT","35041"
"SIDEWALK","30901"
"OTHER","10735"
"PARKING LOT/GARAGE(NON.RESID.)","7458"
"ALLEY","6061"
"SMALL RETAIL STORE","5466"
"RESIDENTIAL YARD (FRONT/BACK)","5451"
"SCHOOL, PUBLIC, BUILDING","5244"
"RESTAURANT","4914"
"RESIDENCE PORCH/HALLWAY","4861"
"VEHICLE NON-COMMERCIAL","4801"
"RESIDENCE-GARAGE","4441"
"DEPARTMENT STORE","3996"
"GROCERY FOOD STORE","2937"
"GAS STATION","2843"
"PARK PROPERTY","2356"
"BAR OR TAVERN","1827"
"COMMERCIAL / BUSINESS OFFICE","1360"
"CTA TRAIN","1304"
"VACANT LOT/LAND","1300"
"HOTEL/MOTEL","1244"
"SCHOOL, PUBLIC, GROUNDS","1222"
"CTA BUS","1218"
"CONVENIENCE STORE","1204"
"CTA PLATFORM","1139"
"DRUG STORE","1009"
"BANK","965"
"HOSPITAL BUILDING/GROUNDS","887"
"POLICE FACILITY/VEH PARKING LOT","819"
"CHA PARKING LOT/GROUNDS","794"
"CHA APARTMENT","759"
"DRIVEWAY - RESIDENTIAL","707"
"ABANDONED BUILDING","678"
"CTA BUS STOP","673"
"AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","662"
"GOVERNMENT BUILDING/PROPERTY","633"
"NURSING HOME/RETIREMENT HOME","582"
"TAVERN/LIQUOR STORE","573"
"CTA STATION","559"
"CHURCH/SYNAGOGUE/PLACE OF WORSHIP","543"
"ATHLETIC CLUB","533"
"SCHOOL, PRIVATE, BUILDING","499"
"CTA GARAGE / OTHER PROPERTY","460"
"CURRENCY EXCHANGE","458"
"TAXICAB","429"
"ATM (AUTOMATIC TELLER MACHINE)","398"
"LIBRARY","305"
"CONSTRUCTION SITE","296"
"WAREHOUSE","272"
"MEDICAL/DENTAL OFFICE","266"
"VEHICLE-COMMERCIAL","252"
"SPORTS ARENA/STADIUM","248"
"OTHER RAILROAD PROP / TRAIN DEPOT","236"
"COLLEGE/UNIVERSITY GROUNDS","218"
"SCHOOL, PRIVATE, GROUNDS","208"
"BARBERSHOP","202"
"CHA HALLWAY/STAIRWELL/ELEVATOR","192"
"","176"
"AIRPORT VENDING ESTABLISHMENT","164"
"AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","162"
"FACTORY/MANUFACTURING BUILDING","160"
"OTHER COMMERCIAL TRANSPORTATION","137"
"DAY CARE CENTER","122"
"CLEANING STORE","101"
"AIRPORT/AIRCRAFT","99"
"CAR WASH","99"
"JAIL / LOCK-UP FACILITY","87"
"AIRCRAFT","74"
"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","73"
"MOVIE HOUSE/THEATER","69"
"AIRPORT PARKING LOT","64"
"AIRPORT EXTERIOR - NON-SECURE AREA","60"
"POOL ROOM","58"
"COLLEGE/UNIVERSITY RESIDENCE HALL","58"
"AIRPORT TERMINAL LOWER LEVEL - SECURE AREA","57"
"AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA","52"
"LAKEFRONT/WATERFRONT/RIVERBANK","52"
"APPLIANCE STORE","51"
"PAWN SHOP","50"
"AIRPORT BUILDING NON-TERMINAL - SECURE AREA","50"
"ANIMAL HOSPITAL","47"
"BOAT/WATERCRAFT","45"
"HIGHWAY/EXPRESSWAY","40"
"FEDERAL BUILDING","36"
"FIRE STATION","34"
"HOUSE","26"
"AIRPORT EXTERIOR - SECURE AREA","26"
"COIN OPERATED MACHINE","24"
"AUTO","23"
"CEMETARY","23"
"PORCH","21"
"BRIDGE","21"
"BOWLING ALLEY","18"
"CREDIT UNION","17"
"DELIVERY TRUCK","14"
"CTA TRACKS - RIGHT OF WAY","13"
"YARD","11"
"AIRPORT TRANSPORTATION SYSTEM (ATS)","9"
"FOREST PRESERVE","9"
"SAVINGS AND LOAN","9"
"NEWSSTAND","6"
"RETAIL STORE","5"
"PARKING LOT","5"
"HALLWAY","4"
"DRIVEWAY","3"
"GANGWAY","3"
"VACANT LOT","3"
"AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA","3"
"CHA PARKING LOT","2"
"VEHICLE - DELIVERY TRUCK","2"
"BARBER SHOP/BEAUTY SALON","2"
"TAVERN","2"
"GARAGE","2"
"VESTIBULE","1"
"NURSING HOME","1"
"GAS STATION DRIVE/PROP.","1"
"BASEMENT","1"
"GOVERNMENT BUILDING","1"
